mag_1,x_1,y_1,z_1,mag_2,x_2,y_2,z_2,mag_3,x_3,y_3,z_3,mag_4,x_4,y_4,z_4,avg_mag,max_mag,min_mag,range_mag,std_mag,left_right_diff,top_bottom_diff,diag1_diff,diag2_diff,diff_12,diff_13,diff_14,diff_23,diff_24,diff_34,norm_mag_1,norm_mag_2,norm_mag_3,norm_mag_4,strongest_sensor,rssi,label
1990.5140272050332,-245.55,1430.0,-1362.7,2460.181845413058,1096.6,-2153.75,459.7,2690.816440227761,470.45,-1750.1,1989.05,0.0,0.0,0.0,0.0,1785.3780782114632,2690.816440227761,0.0,2690.816440227761,1061.2297573296476,1110.5743110098683,879.9397161951649,1990.5140272050332,-230.63459481470318,469.66781820802476,700.3024130227279,1990.5140272050332,230.63459481470318,2460.181845413058,2690.816440227761,0.2787244409877415,0.34449031768632343,0.37678524132593505,0.0,3,-34,empty
1990.2856792430578,-243.15,1432.85,-1359.8,2464.7294562486977,1097.3,-2158.0,462.45,2693.1771762177104,476.1,-1748.05,1992.7,0.0,0.0,0.0,0.0,1787.0480779273664,2693.1771762177104,0.0,2693.1771762177104,1062.4462749598708,1109.3666996060351,880.9189796370224,1990.2856792430578,-228.44771996901272,474.44377700563996,702.8914969746527,1990.2856792430578,228.44771996901272,2464.7294562486977,2693.1771762177104,0.2784320276306455,0.3448045811821851,0.37676339118716945,0.0,3,-33,empty
1998.770168128392,-241.0,1433.25,-1372.15,2464.1330366885636,1098.4,-2157.4,459.45,2692.8826250878446,475.5,-1752.65,1988.4,0.0,0.0,0.0,0.0,1788.9464574762,2692.8826250878446,0.0,2692.8826250878446,1062.7009138432861,1113.7598782638368,885.0102898645555,1998.770168128392,-228.74958839928104,465.3628685601716,694.1124569594526,1998.770168128392,228.74958839928104,2464.1330366885636,2692.8826250878446,0.2793222457518664,0.3443553364035416,0.37632241784459197,0.0,3,-33,empty
1994.7248707528565,-241.5,1433.5,-1365.9,2463.563367360377,1096.45,-2157.4,461.05,2691.994354563174,475.25,-1747.2,1992.05,0.0,0.0,0.0,0.0,1787.5706481691018,2691.994354563174,0.0,2691.994354563174,1062.2229157781794,1111.5779289778266,883.1469417750295,1994.7248707528565,-228.43098720279704,468.8384966075205,697.2694838103175,1994.7248707528565,228.43098720279704,2463.563367360377,2691.994354563174,0.27897147349056245,0.34454069967579365,0.37648782683364396,0.0,3,-34,empty
1991.0616546204692,-244.65,1429.2,-1364.5,2464.159794432983,1094.4,-2159.1,461.15,2691.871391337261,474.95,-1746.75,1992.35,0.0,0.0,0.0,0.0,1786.7732100976782,2691.871391337261,0.0,2691.871391337261,1062.1143506243754,1109.3866257623738,881.6750288580954,1991.0616546204692,-227.71159690427794,473.09813981251364,700.8097367167916,1991.0616546204692,227.71159690427794,2464.159794432983,2691.871391337261,0.2785834323248588,0.34477791872342234,0.37663864895171884,0.0,3,-33,empty
1995.2284430610948,-239.8,1429.9,-1370.7,2463.3672498228925,1096.95,-2157.05,460.45,2689.843825392099,475.2,-1746.75,1989.55,0.0,0.0,0.0,0.0,1787.1098795690218,2689.843825392099,0.0,2689.843825392099,1061.7588786875285,1110.8525093151507,884.3759337459444,1995.2284430610948,-226.4765755692065,468.1388067617977,694.6153823310042,1995.2284430610948,226.4765755692065,2463.3672498228925,2689.843825392099,0.27911384547074725,0.34460209721645046,0.3762840573128021,0.0,3,-33,empty
1998.5452346644547,-244.35,1431.65,-1372.9,2463.082741200547,1094.7,-2157.9,460.3,2686.883847508113,474.4,-1745.2,1987.1,0.0,0.0,0.0,0.0,1787.1279558432786,2686.883847508113,0.0,2686.883847508113,1061.249161692684,1111.1731704860106,887.3720641784444,1998.5452346644547,-223.801106307566,464.5375065360922,688.3386128436582,1998.5452346644547,223.801106307566,2463.082741200547,2686.883847508113,0.27957500582567635,0.3445588119679867,0.37586618220633694,0.0,3,-33,empty
1995.9844438271555,-241.5,1432.2,-1369.1,2459.1773045065293,1094.15,-2152.7,465.05,2695.3349416167184,477.25,-1749.75,1993.85,0.0,0.0,0.0,0.0,1787.6241724876008,2695.3349416167184,0.0,2695.3349416167184,1062.3013501653002,1116.0710404686724,879.9134033584833,1995.9844438271555,-236.15763711018917,463.1928606793738,699.350497789563,1995.9844438271555,236.15763711018917,2459.1773045065293,2695.3349416167184,0.2791392724693367,0.3439169908242537,0.3769437367064096,0.0,3,-34,empty
1997.5184260727108,-240.5,1433.55,-1370.1,2465.865487511434,1101.55,-2157.4,461.2,2691.5460399183216,473.45,-1748.65,1990.6,0.0,0.0,0.0,0.0,1788.7324883756164,2691.5460399183216,0.0,2691.5460399183216,1062.6308025507142,1111.5994892397991,885.9189368329114,1997.5184260727108,-225.68055240688773,468.34706143872313,694.0276138456109,1997.5184260727108,225.68055240688773,2465.865487511434,2691.5460399183216,0.2791807102311169,0.3446386622281814,0.37618062754070175,0.0,3,-33,empty
1991.7202018606931,-241.9,1431.3,-1363.75,2462.893581744855,1092.5,-2159.15,458.65,2691.466942951371,474.0,-1748.55,1990.45,0.0,0.0,0.0,0.0,1786.5201816392296,2691.466942951371,0.0,2691.466942951371,1061.858162006929,1110.1467815336043,881.5734203270883,1991.7202018606931,-228.57336120651598,471.17337988416193,699.7467410906779,1991.7202018606931,228.57336120651598,2462.893581744855,2691.466942951371,0.2787150436824595,0.3446495605055265,0.3766353958120142,0.0,3,-33,empty
