mag_1,x_1,y_1,z_1,mag_2,x_2,y_2,z_2,mag_3,x_3,y_3,z_3,mag_4,x_4,y_4,z_4,avg_mag,max_mag,min_mag,range_mag,std_mag,left_right_diff,top_bottom_diff,diag1_diff,diag2_diff,diff_12,diff_13,diff_14,diff_23,diff_24,diff_34,norm_mag_1,norm_mag_2,norm_mag_3,norm_mag_4,strongest_sensor,rssi,label
3623.222598737207,1533.0,2007.0,-2598.0,4957.402848266419,-1215.0,-4693.0,-1037.0,3240.2439722959134,-1090.0,-316.0,-3035.0,0.0,0.0,0.0,0.0,2955.2173548248848,4957.402848266419,0.0,4957.402848266419,1821.368135699593,953.031861383351,2670.190737353856,3623.222598737207,1717.1588759705055,1334.1802495292118,382.9786264412937,3623.222598737207,1717.1588759705055,4957.402848266419,3240.2439722959134,0.3065106694116503,0.4193771771281588,0.2741121534601909,0.0,2,-45,knife
5414.060583332994,1882.0,2032.0,-4652.0,3835.398023673684,-505.0,-3802.0,-7.0,3028.0140356345773,-1188.0,-983.0,-2606.0,0.0,0.0,0.0,0.0,3069.368160660314,5414.060583332994,0.0,5414.060583332994,1968.9537435716263,2303.338297646943,3110.7222856860503,5414.060583332994,807.3839880391065,1578.66255965931,2386.0465476984164,5414.060583332994,807.3839880391065,3835.398023673684,3028.0140356345773,0.4409751698023955,0.3123931231866768,0.2466317070109276,0.0,1,-45,knife
6712.854683366832,1288.0,1457.0,-6425.0,3131.506666127345,-571.0,-3007.0,662.0,2855.088965338909,-826.0,-1451.0,-2316.0,0.0,0.0,0.0,0.0,3174.862578708271,6712.854683366832,0.0,6712.854683366832,2382.2927730062625,3218.218491289197,3494.636192077634,6712.854683366832,276.4177007884364,3581.3480172394866,3857.765718027923,6712.854683366832,276.4177007884364,3131.506666127345,2855.088965338909,0.5285941136779874,0.2465860008499512,0.2248198854720614,0.0,1,-46,knife
3948.112587047133,1210.0,1137.0,-3582.0,4814.742776099259,-1692.0,-4440.0,778.0,4004.8661650547074,-677.0,-1068.0,-3800.0,0.0,0.0,0.0,0.0,3191.9303820502746,4814.742776099259,0.0,4814.742776099259,1874.4743092783071,1569.1179880012903,2378.994599045842,3948.112587047133,809.8766110445513,866.6301890521263,56.753578007575015,3948.112587047133,809.8766110445513,4814.742776099259,4004.8661650547074,0.3092260884862359,0.3771027403334688,0.3136711711802952,0.0,2,-46,knife
5986.368682264733,5620.0,67.0,-2061.0,3452.918765334626,1820.0,-2818.0,818.0,4073.253490761409,-3531.0,-1997.0,368.0,0.0,0.0,0.0,0.0,3378.135234590192,5986.368682264733,0.0,5986.368682264733,2162.3749297520694,3303.351703845758,2683.016978418976,5986.368682264733,-620.3347254267824,2533.449916930107,1913.1151915033247,5986.368682264733,620.3347254267824,3452.918765334626,4073.253490761409,0.4430231671135977,0.2555343795874935,0.3014424532989088,0.0,1,-45,knife
2107.381787906501,2007.0,400.0,503.0,8161.884218732829,6040.0,-4995.0,2277.0,12182.122844562027,-11522.0,-3647.0,-1532.0,0.0,0.0,0.0,0.0,5612.84721280034,12182.122844562027,0.0,12182.122844562027,4833.355813072266,3063.810206867849,-956.428418961349,2107.381787906501,-4020.238625829198,6054.502430826328,10074.741056655526,2107.381787906501,4020.238625829198,8161.884218732829,12182.122844562027,0.0938642059907013,0.3635358272410881,0.5425999667682104,0.0,3,-46,knife
604.0885696650781,207.0,507.0,255.0,14533.056182372651,-4861.0,9960.0,9401.0,4371.319709195383,-756.0,-3472.0,2546.0,0.0,0.0,0.0,0.0,4877.116115308279,14533.056182372651,0.0,14533.056182372651,5821.040168887368,-4778.823951756096,5382.912521421175,604.0885696650781,10161.73647317727,13928.967612707576,3767.231139530305,604.0885696650781,10161.73647317727,14533.056182372651,4371.319709195383,0.0309654596785673,0.744961563287182,0.2240729770342506,0.0,2,-49,knife
3371.882560232488,2198.0,802.0,-2428.0,3068.159057154632,276.0,-3032.0,380.0,5962.637335944557,-2862.0,-1720.0,-4940.0,0.0,0.0,0.0,0.0,3100.669738332919,5962.637335944557,0.0,5962.637335944557,2114.215261932064,3133.1804195112068,238.70214072128147,3371.882560232488,-2894.478278789925,303.7235030778561,2590.7547757120687,3371.882560232488,2894.478278789925,3068.159057154632,5962.637335944557,0.2718672774583683,0.2473787371824573,0.4807539853591743,0.0,3,-49,knife
2976.314835497078,1865.0,472.0,-2271.0,3239.657697967488,-2.0,-3113.0,897.0,7263.360241651243,-2592.0,-2527.0,-6297.0,0.0,0.0,0.0,0.0,3369.833193778952,7263.360241651243,0.0,7263.360241651243,2582.9794319942907,3500.0086895904165,-523.6938540933388,2976.314835497078,-4023.702543683756,263.3428624704093,4287.045406154165,2976.314835497078,4023.702543683756,3239.657697967488,7263.360241651243,0.2208057984139728,0.2403425860921112,0.538851615493916,0.0,3,-48,knife
2020.705322406016,1235.0,555.0,-1500.0,4652.545432341311,-1177.0,-4475.0,485.0,12708.45946604072,-1331.0,-1266.0,-12575.0,0.0,0.0,0.0,0.0,4845.427555197011,12708.45946604072,0.0,12708.45946604072,4830.157819092199,5038.309678052712,-3017.6043556466966,2020.705322406016,-8055.914033699409,2631.840109935296,10687.754143634704,2020.705322406016,8055.914033699409,4652.545432341311,12708.45946604072,0.1042583600408331,0.2400482402915702,0.6556933996675968,0.0,3,-50,knife
1729.079234737379,1081.0,627.0,-1195.0,5452.196713252375,-1878.0,-5117.0,126.0,19356.805599065152,-677.0,-555.0,-19337.0,0.0,0.0,0.0,0.0,6634.520386763727,19356.805599065152,0.0,19356.805599065152,7604.844573534458,7816.844060275078,-6087.764825537699,1729.079234737379,-13904.608885812777,3723.117478514996,17627.726364327773,1729.079234737379,13904.608885812777,5452.196713252375,19356.805599065152,0.0651546432123035,0.2054480352539816,0.7293973215337148,0.0,3,-50,knife
1727.265179409346,1086.0,535.0,-1232.0,4751.469772607209,-1401.0,-4492.0,660.0,12440.446213862266,-1038.0,-4107.0,-11697.0,0.0,0.0,0.0,0.0,4729.795291469705,12440.446213862266,0.0,12440.446213862266,4765.52090550351,4708.120810332201,-2980.855630922855,1727.265179409346,-7688.976441255057,3024.204593197863,10713.18103445292,1727.265179409346,7688.976441255057,4751.469772607209,12440.446213862266,0.0912970368149182,0.251145635265473,0.6575573279196087,0.0,3,-51,knife
3720.501713478976,1632.0,697.0,-3270.0,2601.2016453939127,-101.0,-2593.0,180.0,5323.445876497665,-1980.0,-1526.0,-4700.0,0.0,0.0,0.0,0.0,2911.2873088426386,5323.445876497665,0.0,5323.445876497665,1939.3996378703864,3221.372972291365,499.1287411876119,3720.501713478976,-2722.244231103753,1119.3000680850637,1602.9441630186889,3720.501713478976,2722.244231103753,2601.2016453939127,5323.445876497665,0.319489397540605,0.2233721176791034,0.4571384847802915,0.0,3,-48,knife
